id,date,size_plt,peroid,category,location_id,item_id,popularity,revenue,income,avg_profit
67,2022-04-03 00:00:00.000,5.88943195343018,30,2,3,9900,5.79909265446053,2999.20,359.20,0.127876132726669
68,2022-04-03 00:00:00.000,6.39776277542114,30,2,5,4090,5.66642668811243,4933.50,598.50,0.12868420779705
69,2022-04-03 00:00:00.000,5.59990215301514,30,2,13,9616,5.6021188208797,1352.40,268.40,0.171475574374199
70,2022-04-03 00:00:00.000,6.61787080764771,30,2,3,2159,5.56068163101553,746.35,746.35,0.973799109458923
71,2022-04-03 00:00:00.000,6.14515066146851,30,3,27,4962,5.30826769740121,3292.45,464.45,0.146207273006439
72,2022-04-03 00:00:00.000,0.6931471824646,30,3,34,3253,5.25227342804663,0.00,0.00,0
73,2022-04-03 00:00:00.000,5.51302528381348,30,3,27,658,5.18738580584075,2214.8999,245.90,0.130130991339684
74,2022-04-03 00:00:00.000,6.00364017486572,30,3,27,5057,5.06890420222023,2628.8999,402.90,0.145730003714561
75,2022-04-03 00:00:00.000,0.6931471824646,30,3,34,3249,5.03043792139244,26378.7305,0.00,0
76,2022-04-03 00:00:00.000,4.93949747085571,30,3,3,122,5.03043792139244,1055.7001,137.70,0.130400002002716
77,2022-04-03 00:00:00.000,0.6931471824646,30,3,34,10277,5.02388052084628,2888.00,0.00,0
78,2022-04-03 00:00:00.000,0.6931471824646,30,3,17,7761,4.96284463025991,14176.7695,0.00,0
79,2022-04-03 00:00:00.000,4.65871095657349,30,3,27,2574,4.89034912822175,103.50,103.50,0.0396825410425663
80,2022-04-03 00:00:00.000,5.91781806945801,30,3,3,5061,4.86753445045558,1407.60,369.60,0.192178338766098
81,2022-04-03 00:00:00.000,4.77237796783447,30,3,3,9893,4.83628190695148,998.20,116.20,0.128510147333145
82,2022-04-03 00:00:00.000,5.17105197906494,30,3,13,9632,4.80402104473326,1028.10,174.10,0.15562142431736
83,2022-04-03 00:00:00.000,0.6931471824646,30,3,34,10276,4.79579054559674,2178.00,0.00,0
84,2022-04-03 00:00:00.000,3.99268102645874,30,1,5,9906,4.75359019110636,400.20,52.20,0.130400002002716
85,2022-04-03 00:00:00.000,5.60561847686768,30,1,13,833,4.71849887129509,2061.95,269.95,0.130886673927307
86,2022-04-03 00:00:00.000,6.6147255897522,30,1,9,1118,4.68213122712422,5704.00,744.00,0.130400002002716
87,2022-04-03 00:00:00.000,6.22624015808105,30,1,3,1959,4.68213122712422,1907.85,503.85,0.250685453414917
88,2022-04-03 00:00:00.000,5.5012583732605,30,1,27,4013,4.68213122712422,1863.00,243.00,0.130400002002716
89,2022-04-03 00:00:00.000,4.43497467041016,30,1,3,1449,4.67282883446191,3899.6501,-82.35,0.104623258113861
90,2022-04-03 00:00:00.000,4.56954288482666,30,1,27,106,4.65396035015752,724.50,94.50,0.130400002002716
91,2022-04-03 00:00:00.000,0.6931471824646,30,1,34,3259,4.62497281328427,6154.6802,0.00,0
92,2022-04-03 00:00:00.000,4.67562866210938,30,1,30,9885,4.61512051684126,1014.30,105.30,0.124811433255672
93,2022-04-03 00:00:00.000,6.09964609146118,30,1,3,4949,4.59511985013459,2918.70,443.70,0.158370584249496
94,2022-04-03 00:00:00.000,5.34663105010986,30,1,7,626,4.57471097850338,1593.90,207.90,0.130400002002716
95,2022-04-03 00:00:00.000,0.6931471824646,30,1,21,3960,4.56434819146784,96.00,0.00,0
96,2022-04-03 00:00:00.000,3.38777446746826,30,1,27,9899,4.52178857704904,211.60,27.60,0.130400002002716
97,2022-04-03 00:00:00.000,5.40087413787842,30,1,13,812,4.48863636973214,1821.6001,219.60,0.128828912973404
98,2022-04-03 00:00:00.000,4.2835865020752,30,1,11,2083,4.45434729625351,586.50,70.50,0.128393843770027
99,2022-04-03 00:00:00.000,1.3862943649292,30,1,6,488,4.45434729625351,432.00,2.00,0.00332209304906428
100,2022-04-03 00:00:00.000,3.60549783706665,30,1,3,9783,4.44265125649032,289.80,34.80,0.128029093146324
101,2022-04-03 00:00:00.000,5.39180755615234,30,1,13,817,4.44265125649032,1407.60,217.60,0.150529623031616
102,2022-04-03 00:00:00.000,0.6931471824646,30,1,3,742,4.43081679884331,0.00,0.00,0
103,2022-04-03 00:00:00.000,6.2524242401123,30,1,34,3265,4.38202663467388,3965.27,517.27,0.13043437898159
104,2022-04-03 00:00:00.000,0.6931471824646,30,1,21,3969,4.38202663467388,2890.8301,0.00,0
105,2022-04-03 00:00:00.000,0.6931471824646,30,1,17,7822,4.34380542185368,0.00,0.00,0
106,2022-04-03 00:00:00.000,4.82911348342896,30,1,31,4725,4.33073334028633,1051.10,123.10,0.127683341503143
107,2022-04-03 00:00:00.000,0.6931471824646,90,0,3,1853,7.65964295456468,0.00,0.00,0
108,2022-04-03 00:00:00.000,8.85123538970947,90,0,21,3937,7.61381868480863,53521.0117,6981.0098,0.130400002002716
109,2022-04-03 00:00:00.000,0.6931471824646,90,0,3,1862,7.5595594960077,0.00,0.00,0
110,2022-04-03 00:00:00.000,0.6931471824646,90,0,17,252,7.08924315502751,0.00,0.00,0
111,2022-04-03 00:00:00.000,7.65244579315186,90,0,6,4005,6.95463886488099,17853.7891,2103.79,0.128561466932297
112,2022-04-03 00:00:00.000,0.6931471824646,90,0,3,1013,6.93439720992856,0.00,0.00,0
113,2022-04-03 00:00:00.000,0.6931471824646,90,0,17,7770,6.91968384984741,42681.3594,0.00,0
